Standard,Heading,SubHeading,Level,Parameter,Default,Units,Description,
FALSE,TRUE,FALSE,1,Main,,,,
TRUE,FALSE,FALSE,0,Stimulus,disks,,"Stimulus choices <i>e.g.</i>  ""disks"" | ""bars"" | ""sinusoids""  ",
TRUE,FALSE,FALSE,0,logMAR,1.0,logMAR,"logMAR specification is: 1) <i>disks</i>: angular size of central disk, 2) <i>bars</i>: stripe width, 3) <i>sinusoids</i>: wavelength/2",
TRUE,FALSE,FALSE,0,Speed,5.0,deg/sec,Horizontal drift speed for stimulus ,
TRUE,FALSE,FALSE,0,Direction,left,,Horizontal drift direction. ,Distance from display to observer.
TRUE,FALSE,FALSE,0,Distance,100,cm,Distance of pbserver from display,Engage sweeping
TRUE,FALSE,FALSE,0,Sweep,TRUE,,sweeping enabled. {[true]|false},
FALSE,TRUE,FALSE,1,Sweep ,,,,
TRUE,FALSE,FALSE,0,Step Duration,1.0,sec,Time spent per logMAR level,
TRUE,FALSE,FALSE,0,Step Size,0.1,logMAR,Step Size,
FALSE,TRUE,FALSE,1,Stimulus Specific Options,,,,
FALSE,FALSE,TRUE,2,Disks,,,,
TRUE,FALSE,FALSE,0,Ratio,1:2,,Disk center:surround diameter ratio.,
TRUE,FALSE,FALSE,0,Central Intensity,0.75,,Central disk intensity (normalized pixel intensity),
TRUE,FALSE,FALSE,0,Surround Intensity,0.45,,Surround disk intensity (normalized pixel intensity),
TRUE,FALSE,FALSE,0,Spacing,2,deg ,Angular distance between disks,
FALSE,FALSE,TRUE,2,Bars/Sinusoids,,,,
TRUE,FALSE,FALSE,0,Contrast,1,,Michelson contrast,
FALSE,TRUE,FALSE,1,Display Options,,,,
TRUE,FALSE,FALSE,0,Height (cm),,cm,Physical screen height,
TRUE,FALSE,FALSE,0,Width (cm),,cm,Physical screen width,
TRUE,FALSE,FALSE,0,Height (px),screen.width,px,Screen height in logical pixels,
TRUE,FALSE,FALSE,0,Width (px),screen.width,px,Screen width in logcial pixels,
TRUE,FALSE,FALSE,0,Device Pixel Ratio,1,,Conversion from logical to physical pixels,